student_secondary_edu,student_higher_edu,mother_secondary_edu,mother_higher_edu,father_secondary_edu,father_higher_edu,1st_5_enrolled,1st_6_enrolled,1st_7_enrolled,1st_gt_7_enrolled,2nd_5_enrolled,2nd_6_enrolled,2nd_7_enrolled,2nd_8_enrolled,2nd_gt_8_enrolled,app_phase,app_older23,app_inter,age_lt20,age_lt25_gt20,age_lt30_gt25,CU1sem_Eval1grp_678,CU1sem_Eval1grp_lt6,CU1sem_Eval1grp_gt8,CU1sem_approv1grp_5,CU1sem_approv1grp_lt5,CU1sem_approv1grp_gt5,cu1st_sem_without_eval_0,cu1st_sem_without_eval_1_2,cu2nd_sem_without_eval_0,cu2nd_sem_without_eval_1,cu2nd_sem_without_eval_2,CU2sem_Eval1grp_679,CU2sem_Eval1grp_8,CU2sem_Eval1grp_lt6,CU2sem_Eval1grp_gt9,CU2sem_approv1grp_5,CU2sem_approv1grp_0,CU2sem_approv1grp_1234,CU2sem_approv1grp_gt5,mother_occupation_grp0,mother_occupation_grp168,mother_occupation_grp2357,mother_occupation_grp4910,father_occupation_grp0,father_occupation_grp124,father_occupation_grp3568,father_occupation_grp7,father_occupation_grp910,Course_33,Course_171,Course_9003,Course_9070,Course_9085,Course_9119,Course_9130,Course_9147_9670,Course_9238_8014,Course_9254,Course_9500,Course_9556,Course_9773,Course_9853,Course_9991,previous_qualification_grade,admission_grade,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade,1st_sem_approved_all_enrolled,2nd_sem_approved_all_enrolled,single,daytime/evening_attendance,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,unemployment_rate,inflation_rate,gdp,cu1st_sem_without_eval_comb,cu2nd_sem_without_eval_comb,CU1sem_Eval1,CU1sem_approv1,CU2sem_Eval1,CU2sem_approv1,amode,mother_occupation,father_occupation,course,cu1sem_enroll,cu2sem_enroll,age,pquali,mquali,fquali,target_bin
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,139,130.6,12.33333333,14.2,1,0,1,1,1,0,1,0,0,13.9,-0.3,0.79,0,0,1,1,2,5,1,2,3,9670,6,6,1,1,3,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,136,119.3,13.21428571,13.21428571,0,0,1,1,1,0,1,0,1,12.7,3.7,-1.7,0,0,1,1,8,2,1,3,4,9500,1,8,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,133,130.2,0,0,0,0,1,1,1,0,1,0,0,12.7,3.7,-1.7,0,0,1,0,0,0,1,3,4,9853,6,6,1,1,3,3,1
0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,110,111.8,10.57142857,11,1,0,1,1,1,0,1,0,1,8.9,1.4,3.51,0,0,1,1,8,5,2,3,3,9254,6,6,2,2,1,1,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,149,137.1,13.25,12,0,1,1,1,1,0,1,0,1,10.8,1.4,1.74,0,0,1,0,0,5,1,2,2,9085,5,5,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,127,120.7,13.2,0,0,0,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,1,5,2,0,1,3,2,9773,6,6,2,1,3,3,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,137,137.4,12,11,0,0,1,1,1,0,1,0,0,10.8,1.4,1.74,0,0,2,0,1,1,4,2,2,9238,6,6,1,1,3,3,0
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,135,127.3,13.30625,14.545,1,1,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,1,1,8,2,4,2,1,9500,7,8,1,1,3,1,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,137,136.3,12.5,12.25,0,0,1,1,1,0,1,0,0,10.8,1.4,1.74,1,2,1,0,8,1,1,2,2,9130,5,5,2,1,2,3,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140,124.6,11.66666667,13.5,0,0,1,1,1,0,1,0,0,16.2,0.3,-0.92,0,0,1,1,8,2,1,2,3,9853,7,7,1,1,3,3,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,120.3,0,0,1,1,1,1,0,0,1,0,1,11.1,0.6,2.02,0,0,0,0,0,0,1,3,2,171,0,0,2,1,1,1,0
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127,121.8,11.4375,11.425,1,1,1,1,1,0,1,0,0,12.7,3.7,-1.7,0,0,2,1,2,2,4,3,3,9556,7,8,2,1,1,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,142,125.5,12.85714286,12.85714286,0,0,1,1,1,0,1,0,0,12.7,3.7,-1.7,0,0,2,1,1,2,1,1,1,9500,1,8,1,1,3,3,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125,114.9,13.375,12.28571429,1,1,1,1,1,0,1,0,1,11.1,0.6,2.02,0,0,1,1,2,2,1,3,3,9670,6,6,1,1,1,3,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,126,123.9,13.29666667,14.11428571,0,0,1,1,0,0,1,0,0,11.1,0.6,2.02,0,0,1,1,2,2,1,2,3,9500,7,8,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,151,157,11.6,11,0,0,1,1,1,1,1,0,1,7.6,2.6,0.32,0,0,1,5,1,1,1,3,4,9238,6,6,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115,116.4,11.375,13.28571429,1,1,1,1,1,0,1,0,0,16.2,0.3,-0.92,0,0,2,1,2,2,4,2,2,9238,6,6,2,1,3,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,138,131,12.66666667,13,1,0,1,1,1,0,1,0,0,9.4,-0.8,-3.12,1,0,2,5,2,1,1,2,2,9085,5,5,1,1,3,3,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,135,122.1,12,12.33333333,1,1,1,1,1,0,1,0,0,16.2,0.3,-0.92,0,0,1,5,2,5,1,3,4,9147,5,5,2,1,3,1,0
1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,127,118.8,12.93333333,13.71666667,0,0,1,1,1,0,1,1,0,16.2,0.3,-0.92,0,0,2,1,2,2,4,1,4,9500,7,7,1,1,2,2,0
0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,150,150,11.85714286,10.57142857,0,0,1,1,0,0,1,1,0,16.2,0.3,-0.92,0,0,2,5,1,5,2,3,1,9003,6,6,2,2,2,2,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,125,130,12.83333333,13.4,1,0,1,1,1,0,1,1,0,8.9,1.4,3.51,0,0,1,1,2,1,2,2,1,9070,6,6,2,1,2,2,0
1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143,138.8,11.33333333,13.5,0,0,1,1,0,0,0,1,0,8.9,1.4,3.51,0,0,2,0,8,1,1,3,2,9147,5,5,1,1,1,1,0
1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,138,134.5,12.66666667,14.375,1,1,1,0,1,0,1,0,0,12.4,0.5,1.79,0,0,1,1,8,2,4,3,2,8014,6,6,1,1,3,1,0
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,131.4,12.4,13.42857143,1,1,1,0,0,0,1,1,0,13.9,-0.3,0.79,0,0,1,5,2,5,1,2,4,9991,5,5,4,1,2,3,0
1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,102.5,0,10,0,0,1,1,0,1,0,1,0,8.9,1.4,3.51,0,0,1,0,2,1,3,3,2,33,7,7,4,1,3,3,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,133.1,128.8,0,0,0,0,1,1,1,0,1,1,0,7.6,2.6,0.32,0,0,0,0,0,0,3,0,0,9119,5,5,4,3,3,3,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,140,122.9,10,12,0,0,1,1,0,0,1,0,0,16.2,0.3,-0.92,0,2,2,0,8,1,2,1,2,9147,5,5,4,1,3,3,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,113.9,11,11.6,1,1,0,0,1,0,1,0,0,7.6,2.6,0.32,0,0,1,5,0,5,3,3,2,9991,5,5,4,1,3,3,0
0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,120,120,11.66666667,12,0,0,1,1,0,1,0,0,0,12.4,0.5,1.79,0,0,2,0,1,1,2,2,2,9130,6,6,2,2,2,2,1
1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,126,121.1,12.75,0,0,0,1,1,0,1,1,0,0,12.7,3.7,-1.7,0,0,1,0,0,0,1,2,1,9773,6,5,1,1,2,2,1
1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,133,120.4,14.8,15.8,1,1,1,1,1,0,1,0,0,8.9,1.4,3.51,0,0,0,5,0,5,1,2,3,9147,5,5,2,1,2,3,0
1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,103,100.6,13.928,14.34285714,0,0,1,1,1,0,1,0,0,11.1,0.6,2.02,0,0,2,5,2,2,1,2,1,9500,7,8,2,1,1,2,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120,121.4,13,13.8,0,0,1,1,0,0,0,0,0,12.4,0.5,1.79,0,0,1,0,2,5,4,2,2,9773,6,6,2,1,1,3,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,133.1,109.7,0,0,0,0,1,0,0,0,1,0,0,16.2,0.3,-0.92,0,0,0,0,0,0,3,3,4,9991,5,5,3,1,3,3,1
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154,134.1,11.5,14.33333333,0,0,1,0,0,0,1,0,0,7.6,2.6,0.32,0,1,2,0,1,1,4,3,2,9991,5,5,2,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130,127.6,11.66666667,13.2,1,0,1,1,1,0,1,0,0,11.1,0.6,2.02,0,0,1,1,8,5,4,3,4,9238,6,6,1,1,3,3,0
1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,132,132.4,13.51666667,13.77142857,0,0,1,1,1,0,1,0,1,11.1,0.6,2.02,0,0,1,1,2,2,4,2,3,9500,7,8,2,1,3,3,0
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130,133.4,11.5,13.28571429,1,1,1,0,0,0,1,0,1,12.4,0.5,1.79,0,0,1,1,2,2,2,3,4,8014,6,6,2,2,1,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,139,126.1,12.33333333,12.83333333,0,1,1,1,0,0,1,0,1,12.7,3.7,-1.7,0,0,1,5,2,2,1,3,4,9238,6,6,1,1,3,3,0
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130,113.5,13.66666667,14.16666667,1,1,1,1,0,0,1,0,1,12.4,0.5,1.79,0,0,1,1,2,2,3,3,3,9254,6,6,2,1,3,3,0
1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,139,121.3,11.83333333,11.83333333,0,0,1,1,1,0,1,0,1,9.4,-0.8,-3.12,0,0,2,1,1,2,1,1,2,9500,1,8,1,1,3,3,0
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,127,121.8,14,11,0,0,1,1,1,0,1,0,1,9.4,-0.8,-3.12,0,0,2,0,1,1,1,2,3,9773,6,6,2,1,1,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,167,159.3,14.71428571,15.8,1,1,1,1,0,0,1,0,0,7.6,2.6,0.32,0,0,1,5,0,5,1,0,0,9130,5,5,1,1,3,3,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130,120,10.6,11,1,1,1,0,0,0,1,0,0,9.4,-0.8,-3.12,0,0,2,5,1,5,3,3,4,9991,5,5,3,1,3,3,1
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,130,129.1,13.04444444,13.595,1,1,1,1,1,0,1,0,0,15.5,2.8,-4.06,0,0,2,1,1,2,1,2,2,9500,7,8,1,1,1,3,0
0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,130,130,0,0,0,0,0,1,0,0,1,0,0,12.4,0.5,1.79,0,0,2,0,2,0,2,3,2,9254,6,6,4,2,1,2,1
0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,129,155.3,13,12.9,0,0,1,1,1,0,1,0,0,12.4,0.5,1.79,0,0,2,5,1,2,3,2,1,9130,6,1,3,2,2,2,1
